Student RegNo,ExNo,Stage,CE101-4-FY,CE101-4-SP,CE141-4-AU,CE141-4-FY,CE142-4-AU,CE142-4-FY,CE151-4-AU,CE152-4-SP,CE153-4-AU,CE154-4-SP,CE155-4-SP,CE161-4-AU,CE162-4-SP,CE163-4-AU,CE164-4-SP,,TC_MK
2500001,4783,CE1 EE      14,,73,,44,,,40,37,41,47,63,42,,,,,48
2500002,1519,CE1 COMPS 4 14,60,,,41,,,71,51,53,66,41,49,,,,,54
2500006,1925,CE1  COMG 4 14,2,,,6,,,51,2,43,0,4,69,,,,,22
2500016,1583,CE1 C/SCI   14,,64,,,,51,45,,,,60,43,53,38,43,,50
2500018,2879,CE1 C/SCI   14,33,,,53,,,26,45,32,41,33,39,,,,,38
2500022,1540,CE1 MSCI CS414,59,,,42,,,43,30,49,40,32,41,,,,,42
2500023,5089,CE1 C/SCI   14,,57,,,38,,38,,,,49,43,48,41,41,,44
2500024,1542,CE1  COMG 4 14,9,,,16,,,37,1,32,4,1,44,,,,,18
2500025,5741,CE1 COMPS 4 14,,64,,55,,,40,58,61,56,68,37,,,,,55
2500027,5782,CE1 EE YAB  14,65,,,36,,,50,29,55,20,37,56,,,,,44
2500028,5315,CE1 C/SCI   14,34,,,48,,,50,17,46,33,40,37,,,,,38
2500029,2520,CE1 COMPN 4 14,70,,,38,,,57,42,43,54,52,42,,,,,50
2500031,4410,CE1 C/SCI   14,54,,,40,,,53,33,59,53,43,55,,,,,49
2500036,4543,CE1 C/SCI   14,58,,,35,,,59,50,48,,40,52,53,,,,49
2500037,2582,CE1 EE      14,71,,,31,,,32,58,38,47,39,34,,,,,44
2500039,3576,CE1 C/SCI   14,78,,,82,,,98,92,89,82,76,76,,,,,84
2500040,5748,CE1 COMPS 4 14,64,,,,,38,59,,,,62,58,51,49,39,,53
2500041,4894,CE1 C/SCI   14,,51,,,46,,44,,,,48,46,50,37,40,,45
2500046,4338,CE1 COMPS 4 14,17,,,31,,,46,28,43,4,30,43,,,,,30
2500048,5459,CE1 C/SCI   14,47,,,42,,,33,22,21,24,44,34,,,,,33
2500050,2176,CE1 COMPS 4 14,,53,,,43,,37,,,,55,58,50,48,53,,50
2500051,4306,CE1 C/SCI   14,75,,,70,,,72,77,75,72,74,70,,,,,73
2500052,5280,CE1 BSC GH5614,45,,,53,,,40,38,39,,39,61,60,,,,47
2500055,5853,CE1 C/SCI YA14,,49,,,53,,61,,,,49,59,39,56,45,,51
2500057,5703,CE1 C/SCI   14,61,,,47,,,55,44,34,37,49,38,,,,,46
2500060,5495,CE1 CE CN4  14,60,,,49,,,49,46,55,50,50,48,,,,,51
2500062,2146,CE1 BENGH65014,63,,,40,,,42,34,52,29,35,48,,,,,43
2500063,1961,CE1 ICT 4   14,46,,,25,,,21,15,23,23,24,23,,,,,25
2500065,3277,CE1 C/SCI   14,70,,,41,,,44,44,59,44,54,50,,,,,51
2500066,2296,CE1 COMPS 4 14,49,,,,,32,22,,,,42,46,46,41,34,,39
2500070,2071,CE1 C/SCI   14,55,,,,,64,51,,,,54,58,74,66,59,,60
2500074,3801,CE1 C/SCI   14,50,,,65,,,30,18,66,29,38,59,,,,,44
2500077,2089,CE1 EE 4    14,59,,,41,,,54,43,46,38,42,42,,,,,46
2500079,3366,CE1 C/SCI   14,,47,,59,,,44,67,41,54,65,50,,,,,53
2500084,4588,CE1 COMPS 4 14,1,,,,,12,60,,,,5,55,7,13,5,,20
2500085,4076,CE1 COMPS 4 14,,54,,,44,,39,,,,43,50,49,44,38,,45
2500087,5047,CE1 C/SCI   14,64,,,68,,,88,75,88,,80,82,80,,,,78
2500091,3523,CE1 TE      14,59,,,41,,,48,36,45,52,40,48,,,,,46
2500092,4765,CE1 COMPS 4 14,57,,,87,,,81,75,83,,70,71,76,,,,75
2500094,3735,CE1 ICT 4   14,72,,,68,,,69,64,80,43,57,69,,,,,65
2500098,3650,CE1 COMPS 4 14,44,,,41,,,42,46,45,52,43,45,,,,,45
2500099,5030,CE1 EE      14,63,,,39,,,52,45,60,,52,61,61,,,,54
2500100,2728,CE1 C/SCI   14,82,,,49,,,72,42,69,66,71,55,,,,,63
2500102,2917,CE1 CE CG4  14,53,,,12,,,26,15,24,7,16,17,,,,,21
2500103,4979,CE1 BENGG42014,70,,,65,,,49,67,50,64,63,54,,,,,60
2500104,1898,CE1 BSC G61014,,60,,,,55,57,,,,49,39,44,39,43,,48
2500108,2363,CE1 C/SCI YA14,49,,,55,,,53,55,62,40,50,49,,,,,52
2500112,4829,CE1 C/SCI   14,48,,,55,,,37,41,50,59,55,44,,,,,49
2500113,4270,CE1 COMPS 4 14,59,,,57,,,83,77,68,62,80,65,,,,,69
2500114,3440,CE1 C/SCI   14,64,,,57,,,80,75,70,73,51,64,,,,,67
2500115,1922,CE1 COMPS 4 14,44,,,81,,,44,24,70,27,22,70,,,,,48
2500118,1692,CE1  COMG 4 14,32,,,10,,,12,17,10,19,24,36,,,,,20
2500121,2741,CE1 BENGH65014,53,,,46,,,41,43,54,33,28,54,,,,,44
2500125,3700,CE1 C/SCI YA14,58,,,49,,,55,56,60,55,42,66,,,,,55
2500135,5135,CE1 COMPS 4 14,60,,,62,,,40,41,46,51,58,39,,,,,50
2500138,1992,CE1 C/SCI   14,63,,,84,,,72,62,69,49,67,66,,,,,67
2500139,1517,CE1 C/SCI   14,59,,,78,,,39,59,57,42,58,70,,,,,58
2500141,5166,CE1 COMPS 4 14,68,,,80,,,85,80,62,64,37,59,,,,,67
